event_id,user_id,event_type,event_timestamp,session_id,platform
evt_980064909904,user_00001,post_create,2025-01-14 03:44:37,sess_574396,mobile_ios
evt_413797561672,user_00001,post_schedule,2025-01-10 23:26:18,sess_495893,mobile_ios
evt_998966480059,user_00001,post_create,2025-01-25 02:11:06,sess_181746,web
evt_724134999065,user_00001,report_export,2025-01-11 18:35:14,sess_882872,mobile_ios
evt_171030412189,user_00001,post_create,2025-01-16 16:12:53,sess_950717,web
evt_664591372180,user_00001,media_upload,2025-01-11 12:37:08,sess_979007,web
evt_604447996222,user_00001,analytics_view,2025-01-11 11:42:04,sess_330875,mobile_ios
evt_237288131323,user_00001,login,2025-01-06 22:09:29,sess_318897,mobile_android
evt_826010757202,user_00001,report_export,2025-01-26 05:58:42,sess_680624,web
evt_809828307259,user_00001,post_schedule,2025-01-25 10:28:21,sess_747177,mobile_android
evt_951238444236,user_00001,login,2025-01-05 18:48:38,sess_574312,mobile_android
evt_442263681010,user_00001,post_create,2025-01-08 12:04:49,sess_766542,mobile_ios
evt_565028622638,user_00001,login,2025-02-19 14:14:03,sess_408035,web
evt_779381908066,user_00001,login,2025-02-07 23:18:43,sess_914601,mobile_ios
evt_496049104192,user_00001,post_schedule,2025-02-03 01:00:44,sess_992827,mobile_ios
evt_204487323070,user_00001,post_create,2025-02-17 12:00:31,sess_422090,web
evt_480095691878,user_00001,media_upload,2025-02-18 07:06:48,sess_215389,mobile_android
evt_330765556013,user_00001,login,2025-02-18 15:04:40,sess_888118,web
evt_271104426188,user_00001,login,2025-02-18 10:16:39,sess_695183,mobile_android
evt_576620005176,user_00001,media_upload,2025-02-17 07:35:25,sess_774072,mobile_ios
evt_52281204874,user_00001,post_create,2025-02-16 06:08:04,sess_894750,web
evt_888486714258,user_00001,post_schedule,2025-02-08 20:52:11,sess_559980,mobile_ios
evt_984627560565,user_00001,media_upload,2025-02-12 18:04:38,sess_413136,mobile_android
evt_895964575092,user_00001,login,2025-02-02 04:24:24,sess_931324,mobile_android
evt_104140155118,user_00001,login,2025-02-15 16:45:38,sess_287590,mobile_android
evt_220449378230,user_00001,post_create,2025-02-16 05:44:49,sess_864000,mobile_android
evt_582410976522,user_00001,team_manage,2025-02-10 02:40:15,sess_919771,mobile_ios
evt_209362629013,user_00001,team_manage,2025-03-14 10:02:58,sess_518728,mobile_ios
evt_841710718043,user_00001,login,2025-03-08 19:54:22,sess_661977,web
evt_92769105651,user_00001,login,2025-03-29 19:12:02,sess_591595,web
evt_442923032446,user_00001,login,2025-03-13 07:57:36,sess_478742,mobile_ios
evt_30107048705,user_00001,media_upload,2025-03-20 08:22:03,sess_829553,web
evt_983566490347,user_00001,analytics_view,2025-03-20 03:29:54,sess_406614,mobile_android
evt_318113188877,user_00001,login,2025-03-11 14:39:19,sess_197302,web
evt_52817321001,user_00001,analytics_view,2025-03-14 15:45:15,sess_716940,mobile_ios
evt_767331230796,user_00001,post_schedule,2025-03-27 12:48:53,sess_718288,mobile_ios
evt_160627035918,user_00001,login,2025-03-12 08:55:39,sess_821633,web
evt_677917963451,user_00001,login,2025-03-16 01:18:26,sess_437883,mobile_ios
evt_823449927773,user_00001,post_create,2025-03-13 20:07:03,sess_782236,mobile_ios
evt_77068442436,user_00001,login,2025-03-22 15:04:28,sess_303758,web
evt_871691890907,user_00001,media_upload,2025-03-27 15:33:23,sess_626435,web
evt_813058610727,user_00001,login,2025-03-04 21:38:32,sess_830553,mobile_android
evt_728650063372,user_00001,report_export,2025-03-25 07:44:01,sess_189940,mobile_ios
evt_937277093075,user_00001,post_schedule,2025-03-12 00:09:33,sess_440338,web
evt_953627719385,user_00001,post_create,2025-03-05 03:38:26,sess_554174,mobile_ios
evt_804379704147,user_00001,post_create,2025-03-27 23:09:28,sess_761973,web
evt_622494450721,user_00001,post_schedule,2025-03-02 17:13:20,sess_675147,web
evt_236526928344,user_00001,post_schedule,2025-03-28 15:23:23,sess_147539,mobile_android
evt_130139738168,user_00001,analytics_view,2025-03-21 16:18:45,sess_435631,mobile_ios
evt_223409950951,user_00001,login,2025-03-16 14:54:52,sess_897951,mobile_ios
evt_891276951087,user_00001,post_create,2025-03-04 13:36:30,sess_674531,mobile_android
evt_543635106607,user_00001,login,2025-03-02 02:40:45,sess_548595,mobile_android
evt_164589147567,user_00001,inbox_reply,2025-04-12 20:44:10,sess_856532,web
evt_699655040160,user_00001,inbox_reply,2025-04-19 01:44:47,sess_287910,mobile_android
evt_600623759364,user_00001,login,2025-04-10 12:33:41,sess_134855,web
evt_143752887475,user_00001,login,2025-04-09 23:10:30,sess_294006,mobile_android
evt_648682534429,user_00001,team_manage,2025-04-21 23:00:37,sess_778462,mobile_android
evt_595337861822,user_00001,inbox_reply,2025-04-17 06:27:47,sess_119783,mobile_android
evt_706241997001,user_00001,inbox_reply,2025-04-16 20:19:52,sess_244814,web
evt_916233454680,user_00001,media_upload,2025-04-14 23:54:05,sess_200493,mobile_ios
evt_423790272073,user_00001,login,2025-04-08 10:43:36,sess_528718,mobile_ios
evt_173074824036,user_00001,login,2025-04-02 18:43:17,sess_179049,mobile_ios
evt_866476506948,user_00001,media_upload,2025-04-16 12:32:44,sess_693902,web
evt_149023746278,user_00001,login,2025-04-01 22:14:43,sess_521312,mobile_ios
evt_997707380027,user_00001,login,2025-04-13 03:05:41,sess_876143,mobile_android
evt_360826028777,user_00001,login,2025-04-07 19:52:06,sess_994310,web
evt_716011510919,user_00001,login,2025-04-14 11:44:53,sess_435036,web
evt_60779506695,user_00001,login,2025-04-29 12:01:41,sess_797134,web
evt_199795823555,user_00001,post_create,2025-04-03 06:58:55,sess_246630,mobile_android
evt_370370200823,user_00001,login,2025-04-02 08:04:34,sess_795473,mobile_android
evt_256974983594,user_00001,team_manage,2025-04-03 06:00:35,sess_219403,web
evt_622903317038,user_00001,post_schedule,2025-04-13 10:17:30,sess_319231,web
evt_536580950401,user_00001,login,2025-04-28 22:56:39,sess_338891,mobile_android
evt_472417738755,user_00001,post_create,2025-04-09 11:05:06,sess_642138,mobile_ios
evt_667558637074,user_00001,media_upload,2025-04-06 16:00:58,sess_266014,web
evt_880220945924,user_00001,post_create,2025-05-13 08:07:16,sess_531720,mobile_android
evt_683339196277,user_00001,post_create,2025-05-14 18:04:40,sess_327098,mobile_ios
evt_287519186319,user_00001,post_schedule,2025-05-10 00:19:18,sess_412896,mobile_ios
evt_994537040654,user_00001,post_create,2025-05-22 11:48:15,sess_105218,web
evt_440751438645,user_00001,post_schedule,2025-05-13 19:14:35,sess_550938,mobile_ios
evt_626797616991,user_00001,post_create,2025-05-10 09:14:30,sess_881632,web
evt_853956680235,user_00001,report_export,2025-05-29 07:38:38,sess_359540,mobile_ios
evt_37866383290,user_00001,analytics_view,2025-05-23 00:44:06,sess_596556,mobile_android
evt_407409029241,user_00001,post_create,2025-05-12 18:32:11,sess_700675,mobile_android
evt_585843410031,user_00001,login,2025-05-18 12:02:23,sess_594820,web
evt_966933325669,user_00001,post_create,2025-05-18 07:00:58,sess_912014,web
evt_90212841036,user_00001,analytics_view,2025-05-17 05:50:49,sess_502284,mobile_ios
evt_723589710627,user_00001,media_upload,2025-05-19 00:09:37,sess_690055,web
evt_267853467942,user_00001,post_schedule,2025-05-13 23:40:22,sess_509035,web
evt_489638203810,user_00001,media_upload,2025-05-18 22:46:08,sess_770649,mobile_android
evt_449320954393,user_00001,analytics_view,2025-05-03 22:34:45,sess_536790,mobile_ios
evt_109130996472,user_00001,login,2025-05-15 13:41:44,sess_595695,mobile_ios
evt_579547628168,user_00001,login,2025-05-11 15:21:28,sess_990236,mobile_android
evt_628914695839,user_00001,login,2025-05-19 00:05:41,sess_562979,mobile_ios
evt_169566562557,user_00001,post_create,2025-05-20 02:49:04,sess_433217,mobile_android
evt_840772900804,user_00001,post_create,2025-05-12 07:50:36,sess_688453,mobile_android
evt_707520870743,user_00001,login,2025-05-20 19:01:50,sess_764577,mobile_android
evt_850247120723,user_00001,team_manage,2025-05-27 18:28:44,sess_884269,web
evt_933255074488,user_00001,post_create,2025-05-08 11:32:05,sess_841420,mobile_ios
evt_7931194898,user_00001,login,2025-06-28 18:11:04,sess_208273,mobile_ios
evt_271912747825,user_00001,login,2025-06-23 01:12:23,sess_772088,mobile_ios
evt_538190985739,user_00001,report_export,2025-06-20 07:24:37,sess_881133,mobile_android
evt_129955520540,user_00001,inbox_reply,2025-06-26 13:21:43,sess_439719,mobile_ios
evt_179146613168,user_00001,inbox_reply,2025-06-10 07:35:00,sess_400542,mobile_ios
evt_246178882527,user_00001,post_create,2025-06-26 15:04:56,sess_885470,mobile_ios
evt_81451328110,user_00001,analytics_view,2025-06-11 23:01:11,sess_127403,mobile_ios
evt_213273681174,user_00001,post_create,2025-06-04 21:59:09,sess_664553,web
evt_727920342482,user_00001,post_schedule,2025-06-14 08:54:21,sess_718909,mobile_android
evt_346254563164,user_00001,analytics_view,2025-06-11 11:23:03,sess_888582,mobile_android
evt_446034158537,user_00001,post_create,2025-06-03 17:54:09,sess_471704,web
evt_13301226537,user_00001,login,2025-06-24 06:39:02,sess_512773,mobile_android
evt_545683453889,user_00001,analytics_view,2025-06-09 13:12:43,sess_192677,web
evt_543271237839,user_00001,login,2025-06-11 21:15:46,sess_945574,web
evt_705218379834,user_00001,login,2025-06-23 00:13:52,sess_161793,mobile_ios
evt_78037658546,user_00001,media_upload,2025-06-08 01:27:28,sess_910828,web
evt_386421135118,user_00001,post_create,2025-06-04 15:10:15,sess_743348,mobile_ios
evt_245079895766,user_00001,report_export,2025-06-23 09:32:23,sess_846144,web
evt_96289059576,user_00001,team_manage,2025-06-26 23:42:27,sess_505376,mobile_android
evt_634613928021,user_00001,login,2025-07-10 02:20:42,sess_228435,mobile_ios
evt_729121358290,user_00001,media_upload,2025-07-19 07:58:25,sess_720917,mobile_ios
evt_159107014114,user_00001,post_create,2025-07-21 10:59:32,sess_439020,mobile_android
evt_368057264481,user_00001,team_manage,2025-07-13 11:51:35,sess_885032,mobile_android
evt_686478907922,user_00001,post_create,2025-07-07 23:35:43,sess_836657,mobile_ios
evt_918024395289,user_00001,media_upload,2025-07-16 17:20:23,sess_315078,web
evt_655342553924,user_00001,post_schedule,2025-07-05 06:51:35,sess_884388,mobile_android
evt_80411380603,user_00001,analytics_view,2025-07-28 13:48:18,sess_415175,web
evt_217285772633,user_00001,post_create,2025-07-10 10:45:46,sess_700474,mobile_ios
evt_530495618926,user_00001,team_manage,2025-07-24 13:05:53,sess_183806,mobile_android
evt_228463811290,user_00001,login,2025-07-05 07:58:11,sess_533703,mobile_android
evt_44923733791,user_00001,analytics_view,2025-07-18 14:32:21,sess_694707,mobile_ios
evt_327233031322,user_00001,analytics_view,2025-07-04 07:01:47,sess_573429,mobile_android
evt_205006358516,user_00001,post_create,2025-07-01 05:47:48,sess_677454,web
